dir,freq,hs,tp,spr,gamma
262.5,0.03500004,1.0,28.5714,2.0,50.0
262.5,0.03850004,1.0,25.974,2.0,50.0
262.5,0.04234991,1.0,23.6128,2.0,50.0
262.5,0.04658508,1.0,21.4661,2.0,50.0
262.5,0.05124342,1.0,19.5147,2.0,50.0
262.5,0.05636788,1.0,17.7406,2.0,50.0
262.5,0.06200474,1.0,16.1278,2.0,50.0
262.5,0.06820491,1.0,14.6617,2.0,50.0
262.5,0.07502551,1.0,13.3288,2.0,50.0
262.5,0.082528,1.0,12.1171,2.0,50.0
262.5,0.09078117,1.0,11.0155,2.0,50.0
262.5,0.0998592,1.0,10.0141,2.0,50.0
262.5,0.10984545,1.0,9.1037,2.0,50.0
262.5,0.12082986,1.0,8.2761,2.0,50.0
262.5,0.13291333,1.0,7.5237,2.0,50.0
262.5,0.14620311,1.0,6.8398,2.0,50.0
262.5,0.16082342,1.0,6.218,2.0,50.0
262.5,0.17690661,1.0,5.6527,2.0,50.0
262.5,0.19459796,1.0,5.1388,2.0,50.0
262.5,0.21405484,0.1,4.6717,2.0,50.0
262.5,0.23546032,0.1,4.247,2.0,50.0
262.5,0.25900697,0.1,3.8609,2.0,50.0
262.5,0.2849084,0.1,3.5099,2.0,50.0
262.5,0.31340103,0.1,3.1908,2.0,50.0
262.5,0.34474437,0.1,2.9007,2.0,50.0
262.5,0.37921881,0.1,2.637,2.0,50.0
262.5,0.41713594,0.1,2.3973,2.0,50.0
262.5,0.45884188,0.1,2.1794,2.0,50.0
262.5,0.5047446,0.1,1.9812,2.0,50.0
247.5,0.03500004,1.0,28.5714,2.0,50.0
247.5,0.03850004,1.0,25.974,2.0,50.0
247.5,0.04234991,1.0,23.6128,2.0,50.0
247.5,0.04658508,1.0,21.4661,2.0,50.0
247.5,0.05124342,1.0,19.5147,2.0,50.0
247.5,0.05636788,1.0,17.7406,2.0,50.0
247.5,0.06200474,1.0,16.1278,2.0,50.0
247.5,0.06820491,1.0,14.6617,2.0,50.0
247.5,0.07502551,1.0,13.3288,2.0,50.0
247.5,0.082528,1.0,12.1171,2.0,50.0
247.5,0.09078117,1.0,11.0155,2.0,50.0
247.5,0.0998592,1.0,10.0141,2.0,50.0
247.5,0.10984545,1.0,9.1037,2.0,50.0
247.5,0.12082986,1.0,8.2761,2.0,50.0
247.5,0.13291333,1.0,7.5237,2.0,50.0
247.5,0.14620311,1.0,6.8398,2.0,50.0
247.5,0.16082342,1.0,6.218,2.0,50.0
247.5,0.17690661,1.0,5.6527,2.0,50.0
247.5,0.19459796,1.0,5.1388,2.0,50.0
247.5,0.21405484,0.1,4.6717,2.0,50.0
247.5,0.23546032,0.1,4.247,2.0,50.0
247.5,0.25900697,0.1,3.8609,2.0,50.0
247.5,0.2849084,0.1,3.5099,2.0,50.0
247.5,0.31340103,0.1,3.1908,2.0,50.0
247.5,0.34474437,0.1,2.9007,2.0,50.0
247.5,0.37921881,0.1,2.637,2.0,50.0
247.5,0.41713594,0.1,2.3973,2.0,50.0
247.5,0.45884188,0.1,2.1794,2.0,50.0
247.5,0.5047446,0.1,1.9812,2.0,50.0
232.5,0.03500004,1.0,28.5714,2.0,50.0
232.5,0.03850004,1.0,25.974,2.0,50.0
232.5,0.04234991,1.0,23.6128,2.0,50.0
232.5,0.04658508,1.0,21.4661,2.0,50.0
232.5,0.05124342,1.0,19.5147,2.0,50.0
232.5,0.05636788,1.0,17.7406,2.0,50.0
232.5,0.06200474,1.0,16.1278,2.0,50.0
232.5,0.06820491,1.0,14.6617,2.0,50.0
232.5,0.07502551,1.0,13.3288,2.0,50.0
232.5,0.082528,1.0,12.1171,2.0,50.0
232.5,0.09078117,1.0,11.0155,2.0,50.0
232.5,0.0998592,1.0,10.0141,2.0,50.0
232.5,0.10984545,1.0,9.1037,2.0,50.0
232.5,0.12082986,1.0,8.2761,2.0,50.0
232.5,0.13291333,1.0,7.5237,2.0,50.0
232.5,0.14620311,1.0,6.8398,2.0,50.0
232.5,0.16082342,1.0,6.218,2.0,50.0
232.5,0.17690661,1.0,5.6527,2.0,50.0
232.5,0.19459796,1.0,5.1388,2.0,50.0
232.5,0.21405484,0.1,4.6717,2.0,50.0
232.5,0.23546032,0.1,4.247,2.0,50.0
232.5,0.25900697,0.1,3.8609,2.0,50.0
232.5,0.2849084,0.1,3.5099,2.0,50.0
232.5,0.31340103,0.1,3.1908,2.0,50.0
232.5,0.34474437,0.1,2.9007,2.0,50.0
232.5,0.37921881,0.1,2.637,2.0,50.0
232.5,0.41713594,0.1,2.3973,2.0,50.0
232.5,0.45884188,0.1,2.1794,2.0,50.0
232.5,0.5047446,0.1,1.9812,2.0,50.0
217.5,0.03500004,1.0,28.5714,2.0,50.0
217.5,0.03850004,1.0,25.974,2.0,50.0
217.5,0.04234991,1.0,23.6128,2.0,50.0
217.5,0.04658508,1.0,21.4661,2.0,50.0
217.5,0.05124342,1.0,19.5147,2.0,50.0
217.5,0.05636788,1.0,17.7406,2.0,50.0
217.5,0.06200474,1.0,16.1278,2.0,50.0
217.5,0.06820491,1.0,14.6617,2.0,50.0
217.5,0.07502551,1.0,13.3288,2.0,50.0
217.5,0.082528,1.0,12.1171,2.0,50.0
217.5,0.09078117,1.0,11.0155,2.0,50.0
217.5,0.0998592,1.0,10.0141,2.0,50.0
217.5,0.10984545,1.0,9.1037,2.0,50.0
217.5,0.12082986,1.0,8.2761,2.0,50.0
217.5,0.13291333,1.0,7.5237,2.0,50.0
217.5,0.14620311,1.0,6.8398,2.0,50.0
217.5,0.16082342,1.0,6.218,2.0,50.0
217.5,0.17690661,1.0,5.6527,2.0,50.0
217.5,0.19459796,1.0,5.1388,2.0,50.0
217.5,0.21405484,0.1,4.6717,2.0,50.0
217.5,0.23546032,0.1,4.247,2.0,50.0
217.5,0.25900697,0.1,3.8609,2.0,50.0
217.5,0.2849084,0.1,3.5099,2.0,50.0
217.5,0.31340103,0.1,3.1908,2.0,50.0
217.5,0.34474437,0.1,2.9007,2.0,50.0
217.5,0.37921881,0.1,2.637,2.0,50.0
217.5,0.41713594,0.1,2.3973,2.0,50.0
217.5,0.45884188,0.1,2.1794,2.0,50.0
217.5,0.5047446,0.1,1.9812,2.0,50.0
202.5,0.03500004,1.0,28.5714,2.0,50.0
202.5,0.03850004,1.0,25.974,2.0,50.0
202.5,0.04234991,1.0,23.6128,2.0,50.0
202.5,0.04658508,1.0,21.4661,2.0,50.0
202.5,0.05124342,1.0,19.5147,2.0,50.0
202.5,0.05636788,1.0,17.7406,2.0,50.0
202.5,0.06200474,1.0,16.1278,2.0,50.0
202.5,0.06820491,1.0,14.6617,2.0,50.0
202.5,0.07502551,1.0,13.3288,2.0,50.0
202.5,0.082528,1.0,12.1171,2.0,50.0
202.5,0.09078117,1.0,11.0155,2.0,50.0
202.5,0.0998592,1.0,10.0141,2.0,50.0
202.5,0.10984545,1.0,9.1037,2.0,50.0
202.5,0.12082986,1.0,8.2761,2.0,50.0
202.5,0.13291333,1.0,7.5237,2.0,50.0
